,kcat (1/s),kcat/km (1/s/mM),km (mM),vmax (mM/s)
WT,76.1065+/-14.9238,0.3237+/-0.1408,235.1121+/-91.3158,0.0137+/-0.0027
F97W,131.1975+/-11.6545,0.6389+/-0.1314,205.3393+/-38.0717,0.0237+/-0.0021
